Cleaned_Translated_Comment,VADER_Sentiment,Label_Encoded_Sentiment
come on guys everyone knows your channel is against china you can do better at least china control its population growth,Positive,2
now we all know what this new virus is going to work every symptom is the same as with covid and where it first was no problem its not going that fast i expect that this one is coming halfway through 2025 up to the end of 2025 no vaccine is there so we know this new virus is there so start building a vaccine for it i even think that when all the symtoms are the same the first covid vaccine will work because it didnt protected but just helped to stay out of the hospital the main questions why is there a new virus in china again and has the same symptoms as covid it shows it is manmade who is doing this who is ordering this i bet that its even coming from wuhan the same institute that brought covid why isnt it closed only one answer to this money,Negative,0
block anyone from going in or out in china please authorities and leaders please think wisely if you keep on letting people go in or out in china it will effect other countries for god sakes many people will die its just the start of 2025 do something and think wisely put china in lockdown and cancel any flights so it wont spread you said theres no vaccine yet so think and let the country go into lockdown so many lives depends on you have responsibilities and do something your people are in danger your people are dying those innocent kids,Negative,0
we are not doing this shit gameshow of china again,Negative,0
in order for this not to spread any further kindly ban all flights from and to china not only fromto india but other countries as well take all possible precautions and be vigilant we cant be as ignorant as we were back during covid the future is very obscure and now is the time to take an action before things worsen,Positive,2
one day china dragged us all into chaos,Negative,0
congratulations ,Positive,2
they are tampering with these microbes trying to use them for warfare why else wud it leak like this,Negative,0
lets go season 2 ,Neutral,1
how many patients,Neutral,1
bs usa created the 2019 scam,Negative,0
its from usa,Neutral,1
 here we go again i will not comply ,Neutral,1
china ffs stop manufacturing viruses already its not funny anymore,Negative,0
also displaying their new b2 bomber,Neutral,1
lying lying and lying america is creating viruses to kill us lol ,Negative,0
only extremely idiotic people believe anything any government or establishment tells them,Negative,0
its media fear mongering because trump will be president this is total bs its flu season dah stop the fear mongering we arent buying it this time,Negative,0
m already 32 and unmarried if we are to stay at home again i dont care who you are contact me ans we will get married,Negative,0
another pandemic no more of this china nambawan,Negative,0
i dont know why i feel this way but i feel that all of these are manmade solutions to address oldage problems,Negative,0
are they making bio weapons against india and the us allies,Negative,0
they kill their own people for expirement,Negative,0
we are back in the game,Neutral,1
theyll start again china is cursed,Neutral,1
guys i have all these symptoms,Neutral,1
352 tf you mean theres is one major difference we didnt have a vaccine for covid19 either,Neutral,1
thats the reason why china economy growing fast total world fight with new viruses in this gap china exports raw material for medicine with two viruses extra ,Negative,0
guya is a hoax fo justify the tariff don9be stupid blame china if this doesnt work martial law they are weak need to revroup and reset im not suicidal,Negative,0
oh noooo oh noo who would have thought oh my  ,Neutral,1
chinas responsibility for hmpv outbreak,Neutral,1
every border for every country should be shut to travelers if not shut our borders as long as it takes until it is gone two things are for sure covid was not bs or some common cold it killed many of our loved ones who would still be here today secondly we cant afford to have to shut down again that was handled terribly people will just refuse and it will explode and kill a ton of people just close the countries doors,Negative,0
all countries should ban all flights from china till they close all their viral labs why chinese people let them do this to them,Negative,0
china wants money  through virus drama,Neutral,1
those scientist in china work for the darkside making new viruses all the time and release it on to their own people who else is wondering how long it will be before they send it here since many of our items come from china while thats going on we should not receive anything from them here sorry even the people from there until its clean but i got to im not surprised by it because the enemy is against trump so they hope they can start up another virus with their darkside friends here to blame trump again in hopes to separate all of us again and take the poison jab and stay in our homes i didnt do it before and i wont do it now because im sooo done with these wanta be push button controllers and i have no doubt there are many others that feel the same way,Negative,0
even if there is a vaccine i will never take it made a huge mistake by ptaking the covid vaccine,Neutral,1
this is chinas war on the west new viruses instead of starting a real war they know they cant win,Negative,0
china loves to claim almost everything except their viruses let it spread first before confirming it came from china,Positive,2
time to hoard everything,Neutral,1
pandemic is always a plan,Neutral,1
fear feeds the demon thats what they like to instill fear to peoplethats why all people must trust jesus christ surrender everuthing to jesus christ and take away all fears bout that,Negative,0
bill gates is a antichrist who creating this virus for money,Positive,2
new product facemask from chinaa,Neutral,1
spreadding fear wil not help,Negative,0
these outbreaks made them rich,Positive,2
earth virus season 2,Neutral,1
well i go back to the bunk remember to stock up on food and water an lots of toilet paper ,Positive,2
all these so call deep state americans ways spreading koas making money farmasutical military,Neutral,1
dont let the chinese or anyone traveling there into the us,Neutral,1
what the heck is this real,Neutral,1
oh not again just after the new year again we know this is planned like last time it the un and wef plan to shut us fiwn again and its china again we stop every one in china now not to leave there,Positive,2
will it be world lockdown like in 2020,Positive,2
yes another lockdown i hope,Positive,2
lol again who you think is beliving anymore,Positive,2
this is false news in china the virus is happening but indian people are reporting and spreading the news,Neutral,1
who would have thunk itjanuary flu,Negative,0
such a lies just to control people again were not idiot anymore knowing that chinese governmemt is in chill because it has something to help the economy while other would be suffer and has agenda to divert theyre issue in taiwan territorial claim,Negative,0
how convenientright during the chinese new yearmillions of chinese have gone home to get sick and come back to a city near you,Negative,0
quarantine them off from the rest of the world,Neutral,1
china said isolated the virus what happen was the lucked people in their own home to de,Positive,2
biological weapon,Negative,0
unless this is announced by the world health organization only then will i believe it thats when i will take the potential of this virus seriously,Negative,0
china trying to create a biological weapon but something wong,Neutral,1
other countries should apply preventive and safety measures immediately before it spreads worldwide,Positive,2
stop  china to entry in india stop visa in embecy,Negative,0
another export coming ,Neutral,1
stop the experiment on people please population control is there major objective,Neutral,1
this will spread again through parcels just like before ,Positive,2
i guarantee all the chinese in california are going to bring the virus here damn,Negative,0
the governments are the virus,Neutral,1
why dont people read the bible it says their were be plaques in one place or another people please read matthew 24 it will tell you that we our living in the last days jesus told his his diceples when you see these all of these signs the end is near,Positive,2
sharma poor you if you no worth while indian news dont ape the west to give smear narratives i think you have caught the virus by the way you report,Negative,0
the perpetually crisisin perpetuity,Neutral,1
dont have eney thing to do with having children its over humans are fucked,Negative,0
if it worked the first time they definitely wont let the good crisis go wasted buckle up world i hope some of you are smarter now god bless,Positive,2
another clown show dont let them spread the panic,Negative,0
another bs ,Neutral,1
interesting the comments are being hidden,Positive,2
china just cannot stop producing and producing virus to the world can it,Positive,2
im not surprised if the zombie virus outbreak will emerge in china china has been infamously known as the origin place of many diseases that spread all over the world even in long time ago the black death in middle ages and the covid19 in 2020 and now hmpv ,Negative,0
has the us nato exported these viruses to china china can reexport them,Neutral,1
damn we came back to square one,Negative,0
its called biological warfare,Negative,0
looking for a bininangkal recipe in the comments section,Neutral,1
keep it china for our work from home,Neutral,1
 the temps in nchina are freezing upto 29c,Negative,0
tired of you guys and your wickednessmay god have mercy on us,Positive,2
but these foolish chinese who has bewitched them,Negative,0
strategy to promote untested vaccines,Positive,2
raise the alarm ban them from leaving their country in and out so it will not spread but dont forget to help them,Negative,0
lock china down now dont allow travel in or out the governments should be held to account on these matters,Negative,0
how concerning is it that you still think vaccines are the solution,Positive,2
awfully convenient for the ccp during the several uprisings sounds awfully similar to the chain of events that started with covid not at all surprising the only country to use chemical warfare outside of nazigermany would have two outbreaks of a virus within 10 years ,Negative,0
money virus and will surely affect the whole world,Positive,2
lets hope the people are smarter this time they tried monkey pox twice and the people didnt buy itif this is another scam and doctors and good science dont stand upit could be the end of the already loss of confidence in the medical system,Positive,2
again right on trump presidency something is fishy here,Neutral,1
china is at it again lmao they need to go they always cause global shit and them president is stoooopid af,Positive,2
if viruss are not treatable with antibioticswhy are people flooding into emergency depts at hospitals or doctors offices thats the worst thing to do alsowhat a strange coincidence that china once again at the cusp of the new year is brewing another pandemic just like 201920 whats the common thread trumps presidency,Negative,0
why are these people manufactur disease too isnt the technology enough for them,Neutral,1
the democrats revemge,Neutral,1
old product new package nothing to worry about  no vaccine but there will soon be one rapidly developed ,Neutral,1
some rich philantropist predicted the next pandemic to be in 2025 ,Positive,2
and theeen they will blame it again to the united states to cover their asses and lessen their shame keep it in china this time,Negative,0
china has always been a bully now another virus that costs peoples lives,Negative,0
bullshit againstay strong and focused on the right values,Positive,2
money business beware,Neutral,1
everytime trump became president there is a virus,Neutral,1
if this virus breakout from china then entire world should ban china in entering other countries and its exports of products to world and strict rules should be implemented specially for chinese country public specially at all international airport,Negative,0
solotion for over population of country,Neutral,1
i think america spy release this action in china i dnt think that china is crazy like that again,Neutral,1
missiles may miss but virus,Negative,0
see one lie is like a spider with only 4 lags the spider it can run and still lie but would you trust a spider with all its lags,Positive,2
china is the best,Positive,2
great,Positive,2
i find it interesting that an overpopulated country yet again has a virus that affects primarily the old and the weak i would almost think that this is by design here we have a country that has no real plan to take care of its ageing citizens and free healthcare how does a country the size of china afford to take care of them the answer they dont they dont have a plan and so here we go again get ride of them and then they arent a problem,Positive,2
at this point this is just terrorism,Negative,0
more plandemics ,Neutral,1
its product of communism as usual because chinas government is communist designed to destroy the west,Negative,0
any chance that this outbreak is in the vicinity of a research lab,Positive,2
i lost my parents because of covid please no not again,Negative,0
i graduated high school online and now theres a possibility of me graduating college online,Neutral,1
ban all chinese entering the other country,Negative,0
looks like china unleashed its new bioweapon,Positive,2
here we go again no country should open for chinese tourists to avoid outbreaks,Negative,0
plandemic again but any way we are the in the last days jesus predicts all this pestilence famine war etc folks get right with god,Negative,0
none of these can stop the time,Negative,0
china has been prepping for war for over 3 decades now thats over 30 years when is anyone going to realize and admit that theyre already doing a bio war right now in prep fot the real thing it significantly weakens societies to have to recover from the consequences from it no matter if its economically socially etc for some reason all the respiratory viruses start there someone is having fun playing creator in a lab,Negative,0
i think chinas is now using biological warfare to get the world to its knees first covid19 then this crap,Negative,0
these elite lizards are at it again but this time they have pushed us too far only the stupid ones will fall for this one again,Negative,0
a well prepared plan to stop donald trump presidency as simple as that democrats and china planned this to sabotage the world against donald trump,Negative,0
i hope all country learn from covid 19,Positive,2
bird virus are coming pitty normal not dangerous the healthy body can make it not productieve but afther all the covid vaccinaties are this virus more dangerous,Positive,2
 its not a mysterie they know,Neutral,1
this evil plan was known a new virus,Negative,0
which laboratory was it made in,Neutral,1
china is being punished because of their greed,Negative,0
its business as usual to make huge profit by selling vaccines,Positive,2
this virus from bird hmpv hmpv was first described in 2001 by researchers in the netherlands,Neutral,1
banned all chinese,Negative,0
china virus factory,Neutral,1
season 2 is coming ,Neutral,1
my god china always causing trouble,Negative,0
close down air travel coming from china from here on out because thats what happened last time just in time for the chinese new year they traveled all over and carried it to the world restrict their travel again before january 29th same shit different day,Negative,0
i cant fully understand her ,Neutral,1
thank you for sharing this awareness,Positive,2
who wants to be vaxed,Neutral,1
ill be honest my family and i few people at work got similar symptoms in beginning of november the thing that stood out the most was that stupid cough,Negative,0
gee where did we see this garbage before would ivermectine help eat well and take care of yourself just like last time,Positive,2
the reason for this virus outbreak is money and reducing population stop with the bullshit,Negative,0
spuid chinese people,Neutral,1
your toxic curries is the cause of worldwide outbreaks,Neutral,1
billions of dollars invested in messing around with these viruses in labs injecting hundreds of millions of people with these high tech unknown shots and we are having some of the worst outbreaks in human history coincidence,Negative,0
an intelligent move by china using a biological weapon to collapse every countries economy for the second time,Negative,0
another start of the war on health not,Negative,0
no way i searched it on google and its originated from birds maybe they get it from eating any creatures,Negative,0
lock down china from travelling,Neutral,1
they always create virus block them to travel,Negative,0
covid 2025 vaccine ready before the outbreak,Positive,2
wtf china tama na copyright how i gonna grow as a adult mental and physically and socially if theres upcoming quarantine,Negative,0
they probably created that in a lab and infected their population on purpose,Negative,0
covid 9000 lets go round 2,Neutral,1
western bioweapon as soon as the west turns its attention to china suddenly china becomes pandoras box things that make you go hmmmmmmmm,Neutral,1
not a surprise at all as usual it is made in china,Negative,0
china has always been a breeding pot for new and existing viruses its nothing new to anyone but im also not surprised by the timing of this new virus too,Negative,0
this is there war weapon now that trump is president,Negative,0
nothing mysterious about a virus in the filthiest place on earth,Neutral,1
another plandemic fear mongering again,Negative,0
covid 19 season 2 zombie edition,Neutral,1
covid quarantine monday 2025 philippines singapore malaysia thailand vietnam taiwan south korea india pakistan kuwait qatar egypt south africa canada usa mexico,Neutral,1
yep plandemic 2 the sequel wonder how many will fall for it this time round wonder if the flu will disappear again,Negative,0
lets go again i dont mind staying at home over this,Neutral,1
i guess we commoners need to go and check that wuhan lab now if our govt aint doing anything and restrict chinese coming to our nation dont serve flew them away,Negative,0
chinese are not hygienic thats why tskkkkkk ,Neutral,1
lockdown youre country or dont leave youre contry simple,Neutral,1
here we go again china ccp spreading its virus ,Neutral,1
right on time for trump just like the ghoul frankenstein peter hotez said time to handle these plotters,Positive,2
quick shut down trump from becoming president by shutting down the world again theres only a few days left,Neutral,1
ita already around now people dying of pneumonia and if they survive there ill for up to 3 weeks longer the illuminati at work again,Negative,0
his was alreadt predicted by the simpsons what on earth is happening why is simpsons keeps on predicting what will happen in the future,Neutral,1
if they have that they can block their ports and airways then,Negative,0
china needs to shut there borders or is the epicenter came from,Neutral,1
this is the new world war 3,Negative,0
these viruses are being engineered for warfare stop all flights from china into america and other countries,Negative,0
ban travel from china immediately,Negative,0
if trump didnt win this would have never shown up,Negative,0
i dont trust the cdc who or mass media as they are all criminals,Negative,0
nope were not gonna do it again,Neutral,1
funny the second trump gets in they release another outbreak not a coincidence,Positive,2
oh my gosh its a cold ,Neutral,1
 why a new covid ,Neutral,1
they really love testing their own people,Positive,2
they should close there borders and keep the virus to themselves,Neutral,1
this is already here in ontario canada everyone i know has this right now,Neutral,1
chinese doesnt really learn that bats arent food for people u mofkrs,Neutral,1
they must stop eating rubbish registered,Negative,0
if its such a mysteryhow do yall know about it sure this wasnt developed in india,Positive,2
climate change scientists had warned the world that viruses and bacteria would get stronger and constant with climate change we have to reduce the global temperature by 15 degrees,Positive,2
wuhan are trying this again,Neutral,1
the year just started ,Neutral,1
they didnt kill enough people with covid 19 so now they made a super virus wich can make the whole world in lockdown and proubly scare most people to take a vacine the hurry to make wich will be like the covid 19 vaccine a vaccine should be tested atleast 12 years before they start giving people this mixture of who knows,Positive,2
is the deadliest covid is covid19,Neutral,1
china couldnt take over the world but a simple virus can,Neutral,1
never again to lockdown leave us alone,Negative,0
this is all planed,Neutral,1
they the red dragon nation china always do this when the christian government the republican party are in power smh,Positive,2
yeah the symptoms are not covid alike very not we wont panic,Neutral,1
plague inc again,Neutral,1
no more fear porn please death has always been around us all the time,Negative,0
ban china immediately from traveling to any countries thats the only things to do to stop spreading the virus,Negative,0
o yeah let them come we are not afraid,Positive,2
whatever it is they better contain it in china,Positive,2
had it already,Neutral,1
another gain of function bio weapon,Positive,2
they were injecting some patients with some injection do they have a vaccine yet,Neutral,1
everything is made in china nowadays ,Neutral,1
lock it down lock it down now,Neutral,1
bro she made covid 19 official trailer ,Neutral,1
i told my friends if kamala won ww3 would happen if trump won another pandemic will happen here we go again,Positive,2
biological warfare backfires,Negative,0
google spars 2025 they already knew this its all planned,Neutral,1
multiviruses awareness for prevention lets wait for the official who announcement for international news nakakaumay na yan promise same dec din 4 years ago hirap na tayo pahirap pa mga ganyan if hindi nila macontrol sa kanila situation as check bernadette g van den hoogen and her colleagues first identified hmpv in 2001 in the netherlands they discovered it in the respiratory secretions of young children lets just have some proper and healthy food for everyone and vitamins for respiratory and ingat nlng tayo and hope ready ang philippines for this kind of event lalo na pull out na philhealth nilagay sa ibang daw not yet sure i need to check pa laki tulong sana ang phil health if totoo pullout so problem ang health system ng pinas lets hope for the best in 2025,Positive,2
you report sooooo slow i have to play it at 15x speed,Positive,2
billyboy and his business partners surely have the right vaccin allready made to sell it to the world plandemic 30,Positive,2
another ccp virus    ,Neutral,1
i hope everyone will be safe,Positive,2
stop all engagement to chinese keep out on phil seas you may spread there your virus,Positive,2
marketing strategy of china or more,Neutral,1
is that same fast as covid 19 spreed human to human,Neutral,1
africa congo reporting same thing disease x do not live in fear im going to trust god and his design,Positive,2
money money,Neutral,1
wait 5 minutes they will have a vac,Neutral,1
dont allowed chinese enter to all country china always make a problem to world,Negative,0
free virus from china,Positive,2
chinese people who will be having their vacation all around the world should be banned,Negative,0
theyre gonna piss off more people than they think using the same trick,Negative,0
here we go again covid 20 people dont believe this shit and dont take the vaccins,Negative,0
silent wartake a bath 3x a day everyday is the key,Neutral,1
all travel and import from china must be stopped,Negative,0
please keep it in china,Positive,2
another virus againchina must be held accountable,Neutral,1
im not taking any vaccines didnt get any with the first plandemic and i wont comply we are busy seeing through this bs,Neutral,1
why do governments think we need vaccines for every virus when our immune system has dealt with these type of viruses for centuries oh yes i remember big profits from untraceable sources,Positive,2
part of the plan to depopulate the world making it easier for governments to control,Positive,2
why does almost every 21st centure pandemics are coming from china,Neutral,1
china needs to stop inventing new viruses,Negative,0
more rubbish nobodys interested anymore in this bs,Positive,2
satans world 2 corinthians chapter 4 vrs 4 revelations chapt 12 ves 7 to 10 isaiah chapt 14 vrs 12 ephesians 2 vrs 2 revelations chapt 17 vrs 18 revelations chapt 18 vrs 24 the great babylon the ten nation roman empire catholic church are destroyed revelations chapter 19 jesus christ returns vrs 11 to 17 registeredregisteredregistered,Positive,2
ignore it and it will go away,Negative,0
fuk your money its not worth the bodies you will have from not acting,Negative,0
close all ports close all airlines and stop all travel,Negative,0
all this plandemic chaos and war rhetoric is beginning to get old and tiring as we get old and tired too evil looks to be all around the world instead of common sense goodwill peace and prosperity war is all the rage but most stupid,Negative,0
china is not wise it should stop creating new viruses it will be its frankenstein monster,Negative,0
for jinping pongmaking new virus for the world to get sick hook or by crook greedy evil way to make money,Negative,0
ban chinese from travelling outside their country,Negative,0
it is time people shut down your tv ignore all news channels all together,Negative,0
wef who syops communist china,Neutral,1
cest incroyable tout ce qui est mauvais daprs ces annonces arrivent o de la chine o de la russie il est vident que tout fe qui est mauvais arrivent des usasans en ajouter encore,Negative,0
what do you think taiwan is involved cos they work for america,Neutral,1
america is scared that china and bricks are going to take the world iand america will be left behind,Negative,0
you can try to lie but it wont work,Neutral,1
all the videos of what you are shown are from the covid,Neutral,1
mercy lord ,Positive,2
just like bird flu bats coming from the usa as well and its all gonna be blamed on china by trump,Negative,0
trump blackrock the who and swab have a ones making up lies and blaming china trump wants to go to war against china this is all it is about,Negative,0
dont lie the usa has this,Neutral,1
mystery meanwhile flu nowhere to bee seen for 5 years and running,Negative,0
please shut up we are all sick of it,Negative,0
so doing these times china citizens are traveling to other countries spreading their viruses to them whats up with this now tons of peoples across the world will become sick because of china ,Negative,0
wion exclusive news lol,Positive,2
india china haters say something good about china you india are haters,Negative,0
why is an indian woman speaking for china,Neutral,1
its more concerning to the world if they make a vaccine for it,Neutral,1
this is so obvious the first one was made to neutralize trump now that he won its 100 predictable that they would launch another one its all planned china is 100 evil,Negative,0
when trump was elected i told everyone damn another pandemic coming,Negative,0
i had three to five weeks of it in the philippines,Neutral,1
thats not mysterious thats what they exactly do to create bio weapon coz they are afraid to do wars lol,Negative,0
we are eliminated by skynet and viruses from the deepstate,Neutral,1
chinese virus never miss an opportunity do you,Negative,0
conveniently because the demonacrats have been kicked out when president trump was in power the criminals saw that the economy is booming so faucy said president trump will face some kind of a virus outbreak they work together with the communists to bring in control over free people guess who supplied the masks and tests and ppe,Negative,0
take 4 tequila shots every night for 1 month straight it will go away,Positive,2
whats the big deal i get all those symptoms every year,Neutral,1
cancel all china flights,Negative,0
news from india getting boring,Negative,0
strange all viruses originate in china,Negative,0
i refuse to take anymore vaccine due to virus from chinaif it will ever be implemented again,Negative,0
the world cant take it blindly beleiving its ok if china says so world economy is strugling as health organisations wars etc needs to be contained how keep it in china suspend all flights till totally contained,Negative,0
man i can not understand this lady is she a lady,Neutral,1
they comin up with this again they better keep their shit in china this time trump about to tarif the shit outa them,Negative,0
hopefully all flights are suspended from and to china world must wake up from dropping their pants upon first covid 19 epedemic,Negative,0
india is full of these mysterious viruses they cover up all the time nothing new china just has a better system to deal with these seasonal outbreaks means nothing just like flu,Positive,2
just so happens when trump gets in office right why does this sound like bio warfare to me,Positive,2
covid 19 was a test run to see how we as countries would comply now the side effects of that bio weapon are starting to take effect your immunity has gone wakey wwakey,Negative,0
when humanity tinkers on the natural diseases to create hybrid diseases to kill its enemies then it is the foolishness stupidity of scientist evil political leaders to do such distardly acts as now the covid diseases is evolving into different virulent diseases of which scientist are late to develop any medicines before it wipes out the human species,Negative,0
omgggg difficult to listen to this,Negative,0
oh ffs not again,Negative,0
no we are not doing this again,Negative,0
the made covid virus can join with similar viruses and mutate we will see something biblical,Positive,2
sooo was this due to a lab leak or black market animal soup,Negative,0
again seriously,Negative,0
disease x another pandemic an international lockdown by who must be implemented who must act responsively asap,Neutral,1
so predictable right ,Neutral,1
scientists maybe inventing t virus to create    zombies ,Positive,2
death rates in the uk were up 13 last year mostly breathing problems penumonia,Negative,0
here we go again create panic government love it control,Positive,2
you silly propagandists still selling your virus shite,Neutral,1
2025 start with wedthurfribasically wtf,Negative,0
chinese new year will be the time where most of the chinese citizens go for holidays and spread the virus maybe coincidence,Positive,2
tariff and virus there might be a pattern need to monitor what china is stockpiling currently,Neutral,1
it seems like china is cosplaying as thanos and has the same mission to eradicate half of the human population on earth,Positive,2
always china the originhaaayysssttt,Neutral,1
this is being reported now supposedly this was out in the usa since march of 2024,Neutral,1
why is it a mystery its been documented late as 2010,Neutral,1
the medicine is very easy and cheap give cetirizine its very easy,Positive,2
let no one go to china and china people dont visit other countries boundary shut and the virus outbreak will be slow maybe ,Negative,0
tio juan cooking addiction,Neutral,1
i guess this shit started from the fog that we had most recently ,Negative,0
of course they do,Neutral,1
welcome lets go in panic and fear criminal fori idiots,Negative,0
lockdown with no food delivery,Negative,0
do not forget they have a virology lab too ,Positive,2
here we go again prostitue media fear porn entertainment,Negative,0
well i had something like the flu that turned into pneumonia back in september 2024 but i tested negative for everything i was in the hospital for 5 days oxygen at 80 not pleasant it felt like something was still there in my lungs and i was sick of feeling shitty tired and no taste so i went to urgent care they gave me steroids and antibiotics which started to try and kick whatevers ass was in there i started violently coughing choking drowning with thick mucous this is exactly what happened before being admitted into the hospital the 1st time i couldnt stand it anymore went to the er in daytona beach the day after christmas and just released on 1230 so another 5 day stint this time swabbed and positive for human metapneumovirus had no idea what it was never heard of it and that was about 2 weeks ago boom here we are unfortunately this shit is real nothing to joke about currently im pumped full of steroids but im fcked up from this be careful out there,Negative,0
yah its called bigharmasuiticals injuries their giving us these things on purpose and blaming it on what it is clearly not proven to be another croc of crap coming to a country near you,Negative,0
dont you fing it interesting gates know when what kind he is the virus,Positive,2
yuphehehe dicus caputus non facus gravitatushehehe just saying,Neutral,1
lets shut all incoming from china,Neutral,1
designer diseases to keep the population under control you think its a coincidence that when covid happened they were having massive pro democracy rallies and riots in china then all of a sudden covid happens and the whole country is on lockdown way to convenient for them,Negative,0
making old news video and title changes fraud news india always blames china without knowing much china recently launched high speed train but these india news channels always china really it gives back  to you,Negative,0
china created to destroy the world economy and their enemies,Negative,0
be before china new year,Neutral,1
if its not a zombie virus i dont care i will not comply,Negative,0
as usual you are on top of the news where american msm does not even report on it well done,Positive,2
keep it in china block chinese way to come to other countrys,Negative,0
stop eating dogs cat nasty bats wtf is wrong with you freeks,Negative,0
so chinas going to try to kill the world again,Negative,0
 how convenient just as trump is about to take office literally the same as christmas 2019,Neutral,1
this is the same crazy peoples so let it out wef nato eu the multibiloner so ovner of world healty companys so not make enof money and love to killing peoples this is agenda 2030 so was start of hitler in war 2,Negative,0
i think they are getting fog out there too,Neutral,1
i wonder if theyre stop them from coming chinese from traveling,Negative,0
this is going to be their excuse why the fog is world wide and ppl are getting sick they are starting so many things while trump is getting in office,Negative,0
a sheshh here we go again,Neutral,1
thanx god no vaccine ,Neutral,1
its the stomach flu,Negative,0
majority of cold flu and infectious diseases come from the asian continent a handful from south america same with middle east and africa,Negative,0
quarantine china no one goes in no one comes out,Negative,0
what people fail to realize is the asian flu virus evolves and changes as it circles the earth the flu vaccine you take yearly is only effective against the virus from the research a year previous youre not insulating yourself of the current virus according to my pcp its better insulation than doing nothing at all the latest scares about changing viruses has been going on for decades ever since vaccines have been available to us,Negative,0
biological weapons at play,Negative,0
why is this not in the news only here,Neutral,1
ooo theyve made the c19 virus a different virus by making it pretty woke rainbow colours ,Positive,2
so they say fear fear fear,Negative,0
were fucked beyond imagination yall cant even fathom how fucked we are,Negative,0
media is the most dangerous virus than any virus in this planet they even tried to spread their virus to other planet also,Negative,0
right on time gates and wef just told us to put this on our calendar oh theres a vaccine just wait,Neutral,1
so long as they keep it within their own borders not like last time with covid 19 i dont care,Negative,0
and the uk will continue to let infected people into the country as they did with covid 19 our government never learn to protect ourselves new zealand completely closed their borders even to returning new zealanders but the uk let thousands die because they didnt do the same was it deliberate in order to kill off the most vulnerable im wondering in view of the fact that starmer is now targeting the elderly with measures he knows will adversely affect millions just wondering folks what do you think linda,Negative,0
i bet this is what that worldwide fog was all about,Neutral,1
this is where our corrupt officials shut down the world again to ruin the poor and make the rich much richer,Neutral,1
china is always spreading everything,Neutral,1
its common here,Neutral,1
its because of this fog all around the world,Neutral,1
stop threatening people enough is enough,Negative,0
yaaaaaaaaawn more lying health control freakery from the nwo thugs im in my eighties and last time with cvd i refused to mask isolate or take the disgusting clot shots what i did was simply ate and drank healthy and well this time will be no different as long as people have prepped and stored food water and batteries we will seriously hamper the government and elites efforts in their diabolical plans to take everything we have,Negative,0
ag fok china,Neutral,1
notice we have already saw this film,Neutral,1
i told everyone if trump wins new outbreak,Positive,2
im sure we all agree on that this show is not gona be repeated there is no need of a so called vaccine wich is killing people since 2021 and we r not gona give the power to the governments just because they are playing the fear game on us again wake up call for everyone dont get vaccinated and dont give up your rights because of fear,Negative,0
can someone please stop the evil thats coming out of there,Negative,0
i have this mystery virus close the world ,Neutral,1
they may speak and decide but god has the final say in jesus christs name we put our trust darkness kingdom will never rule this world again,Positive,2
take antibiotics bucklys cough sryp mucus and flem brand and a puffer advil and you will be fine,Positive,2
they poissen a peoplr and cal it virus thete are not any new viris just poispns,Neutral,1
the gates agenda plans a pandemic on jan 21st2025 dont comply,Neutral,1
still testing how to kill us off i see,Negative,0
this is actually airborne hiv to have growing,Positive,2
yeah yeah can we call this one a china virus like president trump did in 2019 did it come from a panda from a wet market enough enoughenough we will never forget and forgive how we were all fooledcopyright,Positive,2
all virus originate from china,Neutral,1
in the netherlands we have already a vaccine against this infection compliment to rivm special institute for healthy,Positive,2
ah well in other news got a lovely chicken cooking in the oven a nice new years day roast dinner on the way ,Positive,2
and still wont comply you gotta kill me to jab me in the words of dj khaled and another one  ,Negative,0
borders are still open will be in north america in no time,Negative,0
yeah happy new years ,Positive,2
right before trump takes officedidnt we live this already wtf,Negative,0
another us bioweapon attack against china,Negative,0
they called it spars in event 201,Neutral,1
i hope our governments all over the world respond quickly this time and close our borders and flights asap we cant have another horrifying virus again,Positive,2
every 45th year copyrightcopyrightcopyright,Neutral,1
there are five things that make me uneasy 1 the chinese govt lies about illness and viruses and carries on virus research of level 4 virus in level 2 containment 2 much virus research was transferred to beijing from woohan 3 last week beijing emptied out and western travelers posted picsvids of empty city streets cafes and airport but blamed it on the economy umm no people still have to eat the pics looked like china in grip of covid19 but were days old 4 hmpv is pretty uncommon to make hmpv this common this virulent and obtain this case rate it would have had to be tinkered with 5 at 230 sec into the china post video a clinician described his 30 bed icu patients and 6 dead 3 dying and the sx sounded like mers i hope china didnt loose control of tinkered with mersregisteredregistered,Negative,0
 i have people in china western puppet media trying to create something again every year in winter there is flu around nothing unusuall people get sick take medicine and carry on,Negative,0
all i know is that i wont be taking anymore shots of anything,Neutral,1
lockdown china no one in or out,Negative,0
if this virus comes to the us i will reject and disobey any and all government and private mandates about staying safe and having concern for others not getting a new vaccine or wearing a mask or staying indoors or isolating from other i will not cooperate and will defy all government order to do so,Positive,2
america helped financing the experiments on covid so probably that one too,Neutral,1
china wants to pull downthe world thats it,Neutral,1
ban chinese travellingfirst to usa and australia,Negative,0
uno should announce sanctions on china immediately,Neutral,1
thats hilarious that its supposed to rise through the winter our worst month is about to be over were starting to head into spring now ridiculous,Negative,0
i knew that there would be a much worse virus then covid 19 for bill gates already knew about this virus well before it was ever out i wonder now is this the virus that bill knew was already coming,Negative,0
bull shxt story,Neutral,1
theyre making the virus and spreading it all over the world and to keep trudeau in the government because trudeau loves china,Positive,2
express of course,Neutral,1
